"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"West Capitol Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53216","Garden Homes","","","","","43.0902689","-87.94748179999999","ROOFTOP","","2700","McDonalds - Capitol"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","Upark"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0549488","-87.89160009999999","ROOFTOP","","1830","1830 North Oakland Avenue, Milwaukee, Wisconsin 53202, United States"
"East Burleigh Street","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Riverwest","","","","","43.0748313","-87.9018767","ROOFTOP","2104","722","Art Bar"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","USR Parking"
"East Kenwood Boulevard","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0749396","-87.87765639999999","ROOFTOP","","2600","Purin Hall"
"East 21st Street","Oklahoma","Tulsa","Tulsa County","United States","74129","","","","","","36.1328092","-95.8477645","ROOFTOP","1816","11514","Noodles & Company"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53208","Concordia","","","","","43.0423713","-87.9543815","GEOMETRIC_CENTER","","","Camp"
"","","","","","","","","","","","","","","","","BelAirÛÒHumbolt"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Murray Hill","","","","","43.060283","-87.8870285","ROOFTOP","1124","1832","Vitucci's"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","1714 E Park Pl, Milwaukee, WI 53211, USA"
"","Wisconsin","Milwaukee","Milwaukee County","United States","","","","","","","43.0389025","-87.9064736","APPROXIMATE","","","Collectivo - Lake"
"","Wisconsin","Milwaukee","Milwaukee County","United States","53211","","","","","","43.078263","-87.8819686","GEOMETRIC_CENTER","","","707 E Brady St, Milwaukee, WI 53202, USA"
"East Kenwood Boulevard","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.0749186","-87.8796285","ROOFTOP","","2442","Mellencamp Hall Parking"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Riverside Park","","","","","43.070576","-87.888128","ROOFTOP","3566","2851","Thai Kitchen"
"East Kenilworth Place","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.059128","-87.88621599999999","ROOFTOP","","1903","Toppers"
