street,state,city,county,country,postal_code,neighborhood,sublocality,housenumber,postal_town,subpremise,latitude,longitude,location_type,postal_code_suffix,street_number,address
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0599913,-87.8900349,ROOFTOP,,1609,7-Eleven - North
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Murray Hill,,,,,43.060283,-87.8870285,ROOFTOP,1124,1832,Vitucci's
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Murray Hill,,,,,43.0603473,-87.8877348,ROOFTOP,,1804,Insomnia Cookes
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Murray Hill,,,,,43.0604306,-87.883781,ROOFTOP,,2305,Whole Foods
East North Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Riverside Park,,,,,43.0608118,-87.8919305,ROOFTOP,,1440,Cambridge Commons
North Lake Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.0608881,-87.8803217,ROOFTOP,,2301,Columbia St. Mary's - Main
North Commerce Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.0609216,-87.8953035,ROOFTOP,,2340,Riverview
North Lake Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.063694,-87.876564,ROOFTOP,,2522,"2522 N Lake Dr, Milwaukee, WI 53211, USA"
North Lake Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.0639817,-87.8761417,ROOFTOP,3817,2550,"2550 N Lake Dr, Milwaukee, WI 53211, USA"
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.065046,-87.878266,ROOFTOP,,2551,Starbucks - Downer
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.0659346,-87.8782885,ROOFTOP,,2597,Pizza Man
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.0665232,-87.8778741,ROOFTOP,,2608,Cafe Hollander
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Northpoint,,,,,43.0670153,-87.8782972,ROOFTOP,4245,2643,Sendik's - Downer
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.0670958,-87.877837,ROOFTOP,,2650,Stone Creek - Downer
East Park Place,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Riverside Park,,,,,43.0672438,-87.8886722,ROOFTOP,3539,1709,"1709 E Park Pl, Milwaukee, WI 53211, USA"
East Park Place,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Murray Hill,,,,,43.067876,-87.887092,ROOFTOP,,1824,"1824 E Park Pl, Milwaukee, WI 53211, USA"
North Bremen Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.067975,-87.900151,ROOFTOP,2606,2718,Foundation Bar
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0701796,-87.8877313,ROOFTOP,,2830,Goodwill - Oakland
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.070453,-87.887553,ROOFTOP,3565,2844,Miramar Theatre
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Riverside Park,,,,,43.070576,-87.888128,ROOFTOP,3566,2851,Thai Kitchen
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.071279,-87.888097,ROOFTOP,,2907,Blaze Pizza
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.071544,-87.888294,ROOFTOP,3229,2921,Shawarma House
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0721409,-87.888063,ROOFTOP,,2949,Knuckleheads
North Prospect Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0737517,-87.8800865,ROOFTOP,,3034,Zelazo Parking
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Upper East Side,,,,,43.0742918,-87.8798681,ROOFTOP,,2419,Zelazo Front
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0748027,-87.8880521,ROOFTOP,,3101,Qdoba
East Burleigh Street,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.0748313,-87.9018767,ROOFTOP,2104,722,Art Bar
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0749186,-87.8796285,ROOFTOP,,2442,Mellencamp Hall Parking
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0749396,-87.8776564,ROOFTOP,,2600,Purin Hall
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0751744,-87.877669,ROOFTOP,,3116,Subway - Downer
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0752308,-87.881425,ROOFTOP,,2200,Union North
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Historic Water Tower,,,,,43.075247,-87.8685548,ROOFTOP,,3230,Alumni House
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0752733,-87.8803897,ROOFTOP,,2200,Garage
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0753494,-87.8830974,ROOFTOP,,3101,KIRC Parking
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0753936,-87.8880629,ROOFTOP,,3129,Jimmy Johns - Oakland
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0754651,-87.8838941,ROOFTOP,,3135,Physics Kenwood
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.075684,-87.8789516,ROOFTOP,,3203,Mitchell Hall
North Cramer Street,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0759943,-87.8859982,ROOFTOP,,3200,EMS Cramer
North Cramer Street,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0759943,-87.8859982,ROOFTOP,,3200,EMS Parking
East Kenwood Boulevard,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0762464,-87.8802443,ROOFTOP,,2400,Music Building Parking
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0764916,-87.8785926,ROOFTOP,,3243,Curtin
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0767674,-87.8807049,ROOFTOP,3175,2311,Library
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,Garland Hall,43.0770558,-87.8790209,ROOFTOP,,,Garland Hall
North Lake Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0771588,-87.873053,ROOFTOP,,3271,Hefter Center
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0773463,-87.8842579,ROOFTOP,3154,2033,Englemann
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.077349,-87.885709,ROOFTOP,,1921,Cunningham
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Cambridge Woods,,,,,43.0777702,-87.8882464,ROOFTOP,,3301,7-Eleven - Oakland
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0780042,-87.8797914,ROOFTOP,,2400,Enderis
East Hartford Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,Merrill Hall,43.0783696,-87.8785429,ROOFTOP,,2512,Merrill Hall
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0786469,-87.8795528,ROOFTOP,,3351,Norris Health Center
North Frederick Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0787354,-87.8837889,ROOFTOP,2901,3400,Honor's College
East Newport Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0789803,-87.8848207,ROOFTOP,,2025,NWQ
North Maryland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0789822,-87.8822568,ROOFTOP,,3400,Sandburg
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0803017,-87.8796044,ROOFTOP,,3409,Klotsche
North Downer Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,Downer Woods,,,,,43.0803017,-87.8796044,ROOFTOP,,3409,UWM Klotsche Center 
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0826122,-87.8872685,ROOFTOP,,3524,William Ho's
East Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Williamsburg Heights,,,,,43.0876197,-87.9061765,ROOFTOP,,401,Walmart
East Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Riverwest,,,,,43.087997,-87.902407,ROOFTOP,,709,Planet Fitness - Capitol
East Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Williamsburg Heights,,,,,43.0888121,-87.9089016,ROOFTOP,,225,Aldi
East Capitol Drive,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0888653,-87.8947064,ROOFTOP,,1305,Corner Bakery
West Capitol Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53216,Garden Homes,,,,,43.0902689,-87.9474818,ROOFTOP,,2700,McDonalds - Capitol
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0916326,-87.8877604,ROOFTOP,,4075,Metro Market Shorewood
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0930027,-87.8877405,ROOFTOP,,4151,Mod Pizza
North Oakland Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.093328,-87.887202,ROOFTOP,,4170,Starbucks Shorewood
West Fond Du Lac Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53216,Capitol Heights,,,,,43.0943643,-87.9825621,ROOFTOP,,5501,Culver's
North Cramer Street,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.096415,-87.885835,ROOFTOP,1602,4424,"4424 North Cramer Street, Milwaukee, Wisconsin 53211, United States"
North Oakland Avenue,Wisconsin,Shorewood,Milwaukee County,United States,53211,,,,,,43.0984067,-87.8871059,ROOFTOP,,4500,Colectivo - Shorewood
North Teutonia Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53209,Old North Milwaukee,,,,,43.1115486,-87.9505332,ROOFTOP,,5191,McDonald's - North
,,,,,,,,,,,43.0663893,-87.9058075,Proofed,,,"2480 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States"
,,,,,,,,,,,43.0664751,-87.9242618,Proofed,,,WalgreensÛÒOakland
,,,,,,,,,,,43.0525161,-87.8944854,Proofed,,,CVSÛÒBrady
,,,,,,,,,,,43.0531275,-87.8958168,Proofed,,,WalgreensÛÒBrady
,,,,,,,,,,,43.0666395,-87.8817847,Proofed,,,BelAirÛÒDowner
,,,,,,,,,,,43.0664334,-87.8803939,Proofed,,,CVSÛÒDowner
,,,,,,,,,,,43.0531887,-87.9043086,Proofed,,,BelAirÛÒHumbolt
