Requested Pick Up Time,# of Pass-engers,Pick Up Location,Drop Off Location,Cancellation Time,Pickup Time,Drop Off Time,Wait Time (min),Passenger Canceled?,Cancellation Message
2/10/19 21:20,2,Sandburg,"2313 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:51,2/10/19 21:57,31,no,
2/10/19 21:20,1,"3403 North Dousman Street, Milwaukee, Wisconsin 53212, United States",CVSâ€“Brady,,2/10/19 21:49,2/10/19 21:57,28,no,
2/10/19 21:20,1,Walgreensâ€“Oakland,"3046 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 21:27,,,,yes,Wait time is too long
2/10/19 21:21,1,Union South,Pick n Save,,2/10/19 21:33,2/10/19 21:38,11,no,
2/10/19 21:21,1,Starbucks - Downer,Cambridge Commons,2/10/19 21:57,,,,yes,I'm not ready to go
2/10/19 21:23,1,Library,"1824 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:12,2/10/19 22:16,49,no,
2/10/19 21:23,1,"1928 East Belleview Place, Milwaukee, Wisconsin 53211, United States","3028 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:48,2/10/19 21:51,24,no,
2/10/19 21:24,1,Library,"2843 North Cramer Street, Milwaukee, Wisconsin 53211, United States",2/10/19 21:26,,,,yes,Wait time is too long
2/10/19 21:24,1,"2971 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/10/19 21:55,2/10/19 22:06,30,no,
2/10/19 21:27,1,"3323 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 21:31,,,,yes,It took too long to receive my ETA
2/10/19 21:27,2,"2605 North Prospect Avenue, Milwaukee, Wisconsin 53211, United States","2753 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:59,2/10/19 22:02,32,no,
2/10/19 21:30,1,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",EMS Parking,2/10/19 21:59,,,,no,No show
2/10/19 21:30,1,"2858 North Murray Avenue, Milwaukee, Wisconsin 53211, United States","3356 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:05,2/10/19 22:09,35,no,
2/10/19 21:31,1,"1816 East Kane Place, Milwaukee, Wisconsin 53202, United States",Klotsche,2/10/19 21:32,,,,yes,Wait time is too long
2/10/19 21:32,1,"1717 East Newton Avenue, Milwaukee, Wisconsin 53211, United States","2011 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:13,2/10/19 22:19,40,no,
2/10/19 21:35,1,"2518 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",Walgreensâ€“Oakland,,2/10/19 22:02,2/10/19 22:05,27,no,
2/10/19 21:35,1,Sandburg,"3558 North Cramer Street, Milwaukee, Wisconsin 53211, United States",2/10/19 21:39,,,,yes,I'm not ready to go
2/10/19 21:36,1,Thainamite,Cambridge Commons,2/10/19 21:54,,,,yes,I'm not ready to go
2/10/19 21:37,1,"2976 North Cambridge Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 22:04,2/10/19 22:08,27,no,
2/10/19 21:38,1,"3055 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","3036 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:19,2/10/19 22:19,41,no,
2/10/19 21:39,1,Sandburg,"3558 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:11,2/10/19 22:14,32,no,
2/10/19 21:40,2,Pick n Save,"2743 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:59,2/10/19 22:04,19,no,
2/10/19 21:42,1,Union North,"3416 North Dousman Street, Milwaukee, Wisconsin 53212, United States",,2/10/19 21:45,2/10/19 21:54,3,no,
2/10/19 21:42,1,"3560 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2505 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:13,2/10/19 22:22,31,no,
2/10/19 21:44,2,Sandburg,"The Park at 1824, 1824 E Park Pl, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:12,2/10/19 22:22,28,no,
2/10/19 21:46,1,CVSâ€“Brady,Cambridge Commons,,2/10/19 22:11,2/10/19 22:16,25,no,
2/10/19 21:46,1,Arch Court,"2632 North Prospect Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:22,2/10/19 22:25,35,no,
2/10/19 21:47,2,"3069 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","621 E Brady St, Milwaukee, WI 53202, USA",,2/10/19 22:08,2/10/19 22:22,20,no,
2/10/19 21:48,1,"3551 N Oakland Ave, Shorewood, WI 53211, USA","2443 N Pierce St, Milwaukee, WI 53212, USA",,2/10/19 22:08,2/10/19 22:28,19,no,
2/10/19 21:50,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 21:53,,,,yes,I'm not ready to go
2/10/19 21:55,2,"2480 N Oakland Ave, Milwaukee, WI 53211, USA","2950 N Oakland Ave, Milwaukee, WI 53211, USA",,2/10/19 22:28,2/10/19 22:30,32,no,
2/10/19 22:00,1,Klotsche,"3228 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:24,2/10/19 22:27,23,no,
2/10/19 22:01,1,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",EMS Parking,,2/10/19 22:24,2/10/19 22:30,22,no,
2/10/19 22:03,1,Thainamite,Cambridge Commons,2/10/19 22:12,,,,yes,I'm not ready to go
2/10/19 22:04,1,"2953 North Downer Avenue, Milwaukee, Wisconsin","1704 East Locust Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:20,2/10/19 22:25,16,no,
2/10/19 22:05,1,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",EMS Parking,2/10/19 22:07,,,,yes,I've had a change in my plans
2/10/19 22:05,1,Sandburg,"3044 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:06,,,,yes,I'm not ready to go
2/10/19 22:07,1,"3355 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2222 East Belleview Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:28,2/10/19 22:34,20,no,
2/10/19 22:07,1,Cambridge Commons,"2605 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:07,,,,yes,I'm not ready to go
2/10/19 22:07,1,Sandburg,"3044 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:12,,,,yes,I'm not ready to go
2/10/19 22:11,1,"2844 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 22:31,2/10/19 22:35,20,no,
2/10/19 22:13,1,Blaze Pizza,"2954 North Bremen Street, Milwaukee, Wisconsin 53212, United States",,2/10/19 22:31,2/10/19 22:34,17,no,
2/10/19 22:14,1,Cambridge Commons,"2605 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:35,2/10/19 22:42,20,no,
2/10/19 22:14,1,"2619 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",7-Eleven - Oakland,,2/10/19 22:44,2/10/19 22:48,29,no,
2/10/19 22:16,1,Cambridge Commons,"2605 n. prospect, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:41,2/10/19 22:49,24,no,
2/10/19 22:17,1,"1706 East Belleview Place, Milwaukee, Wisconsin 53211, United States","2935 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:26,2/10/19 22:29,8,no,
2/10/19 22:25,2,Sandburg,"2570 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:26,,,,yes,I'm not ready to go
2/10/19 22:26,1,"3039 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Cambridge Commons,,2/10/19 22:45,2/10/19 22:54,19,no,
2/10/19 22:27,2,Sandburg,Walmart,,2/10/19 22:40,2/10/19 22:51,12,no,
2/10/19 22:28,1,Arch Court,"1824 E Park Pl, Milwaukee, WI 53211, USA",,2/10/19 22:37,2/10/19 22:40,9,no,
2/10/19 22:29,1,Sandburg,"2605 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:38,2/10/19 22:43,9,no,
2/10/19 22:31,1,Klotsche,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:40,2/10/19 22:46,9,no,
2/10/19 22:31,1,EMS Parking,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:53,2/10/19 22:56,21,no,
2/10/19 22:32,1,Metro Market Shorewood,Sandburg,2/10/19 22:33,,,,yes,I'm not ready to go
2/10/19 22:32,1,EMS Parking,"3495 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:59,,,,no,No show
2/10/19 22:33,1,"932 E Wright St, Milwaukee, WI 53212, USA","2853 N Booth St, Milwaukee, WI 53212, USA",2/10/19 22:35,,,,yes,I'm not ready to go
2/10/19 22:37,1,"2505 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States","3054 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:41,,,,yes,I'm not ready to go
2/10/19 22:39,1,Metro Market Shorewood,Sandburg,,2/10/19 23:05,2/10/19 23:11,26,no,
2/10/19 22:39,1,Library,"3012 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:59,2/10/19 23:01,20,no,
2/10/19 22:39,2,"Ian's Pizza, 2035 E North Ave, Milwaukee, Wisconsin, United States, 53202","3047 North Cramer Street, Milwaukee, Wisconsin 53211, United States",2/10/19 22:40,,,,yes,I've had a change in my plans
2/10/19 22:42,1,"2505 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States","3054 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 22:43,,,,yes,I'm not ready to go
2/10/19 22:43,1,"1824 East Park Place, Milwaukee, Wisconsin 53211, United States",Union North,2/10/19 22:43,,,,yes,I'm not ready to go
2/10/19 22:44,1,Klotsche,"1816 East Kane Place, Milwaukee, Wisconsin 53202, United States",,2/10/19 23:01,2/10/19 23:10,17,no,
2/10/19 22:46,2,Sandburg,"2570 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 22:55,2/10/19 23:00,8,no,
2/10/19 22:47,1,"2505 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States","3054 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:03,2/10/19 23:06,15,no,
2/10/19 22:48,1,Union South,Brady and Prospect,2/10/19 22:49,,,,no,Admin cancelled ride
2/10/19 22:49,1,Library,"1524 East Providence Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:09,2/10/19 23:13,19,no,
2/10/19 22:50,1,"932 E Wright St, Milwaukee, WI 53212, USA","2861 N Booth St, Milwaukee, WI 53212, USA",,2/10/19 22:58,2/10/19 23:00,7,no,
2/10/19 22:52,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 23:08,,,,yes,I'm not ready to go
2/10/19 22:53,1,Culver's,"2505 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:05,2/10/19 23:15,12,no,
2/10/19 22:56,1,Lubar,Metro Market Shorewood,2/10/19 23:18,,,,yes,I'm not ready to go
2/10/19 22:57,1,Klotsche,"2414 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:11,2/10/19 23:18,14,no,
2/10/19 22:57,1,"3132 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2508 East Belleview Place, Milwaukee, Wisconsin 53211, United States",2/10/19 23:04,,,,yes,I'm not ready to go
2/10/19 22:58,1,"1824 East Park Place, Milwaukee, Wisconsin 53211, United States",Union North,,2/10/19 23:09,2/10/19 23:12,10,no,
2/10/19 23:04,1,"1927 East Newberry Boulevard, Milwaukee, Wisconsin 53211, United States",Arch Court,,2/10/19 23:16,2/10/19 23:19,12,no,
2/10/19 23:05,1,Library,"2953 N Downer Ave, Milwaukee, WI 53211, USA",,2/10/19 23:23,2/10/19 23:25,18,no,
2/10/19 23:06,1,Klotsche,"2913 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:21,2/10/19 23:24,15,no,
2/10/19 23:08,1,"2621 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3400 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:08,,,,yes,Accident
2/10/19 23:09,2,"2621 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3400 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:13,2/10/19 23:17,4,no,
2/10/19 23:11,1,"1851 North Oakland Avenue, Milwaukee, Wisconsin 53202, United States",Sandburg,,2/10/19 23:16,2/10/19 23:25,4,no,
2/10/19 23:14,2,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2213 East Kenwood Boulevard, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:20,2/10/19 23:25,6,no,
2/10/19 23:15,1,"3044 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 23:16,,,,yes,I'm not ready to go
2/10/19 23:16,1,"3238 North Newhall Street, Milwaukee, Wisconsin 53211, United States","3134 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:22,2/10/19 23:26,6,no,
2/10/19 23:18,1,"2968 N Oakland Ave, Milwaukee, WI 53211, USA","2518 North Farwell Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:24,2/10/19 23:29,6,no,
2/10/19 23:20,2,"2968 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2480 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:25,2/10/19 23:27,5,no,
2/10/19 23:20,1,"2970 North Murray Avenue, Milwaukee, Wisconsin 53211, United States","2565 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:28,2/10/19 23:33,8,no,
2/10/19 23:21,1,Library,"3214 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:30,2/10/19 23:32,8,no,
2/10/19 23:24,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 23:29,,,,yes,I'm not ready to go
2/10/19 23:25,1,Lubar,Metro Market Shorewood,,2/10/19 23:27,2/10/19 23:33,2,no,
2/10/19 23:29,1,"Walgreens, 2950 N Oakland Ave, Milwaukee, Wisconsin, United States, 53211",Sandburg,,2/10/19 23:33,2/10/19 23:38,4,no,
2/10/19 23:29,1,Library,"2314 East Wyoming Place, Milwaukee, Wisconsin 53202, United States",,2/10/19 23:34,2/10/19 23:40,4,no,
2/10/19 23:30,1,Klotsche,"2310 East Bradford Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:33,2/10/19 23:39,3,no,
2/10/19 23:30,2,Garland Hall,"4101 N Ardmore Ave, Milwaukee, WI 53211, USA",,2/10/19 23:38,2/10/19 23:43,7,no,
2/10/19 23:30,1,Union South,"2497 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:36,2/10/19 23:41,5,no,
2/10/19 23:31,1,"3132 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2508 East Belleview Place, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:37,2/10/19 23:41,6,no,
2/10/19 23:32,1,Sandburg,"2903 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:32,,,,yes,Wait time is too long
2/10/19 23:32,1,"3059 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3948 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:36,2/10/19 23:44,4,no,
2/10/19 23:32,1,"3048 North Downer Avenue, Milwaukee, Wisconsin 53211, United States","UWM Golda Meir Library, 2311 E Hartford Ave, Milwaukee, Wisconsin, United States, 53211",2/10/19 23:32,,,,yes,I'm not ready to go
2/10/19 23:34,1,NWQ,"3939 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:38,2/10/19 23:38,3,no,
2/10/19 23:35,1,"3044 North Stowell Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 23:52,2/10/19 23:55,17,no,
2/10/19 23:35,1,"2414 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 23:41,,,,yes,I'm not ready to go
2/10/19 23:36,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 23:41,,,,yes,I'm not ready to go
2/10/19 23:37,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2466 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:41,,,,yes,I've had a change in my plans
2/10/19 23:39,1,NWQ,"3939 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:40,2/10/19 23:45,1,no,
2/10/19 23:40,1,NWQ,"3939 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:40,,,,yes,I'm not ready to go
2/10/19 23:45,1,"2112 East Webster Place, Milwaukee, Wisconsin 53211, United States",Cousin's - Brady,2/10/19 23:45,,,,yes,I'm not ready to go
2/10/19 23:48,1,Union South,"2024 North 1st Street, Milwaukee, Wisconsin 53212, United States",,2/10/19 23:50,2/11/19 0:00,1,no,
2/10/19 23:48,1,Sandburg,"2903 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 23:52,2/10/19 23:55,3,no,
2/10/19 23:49,2,"2313 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 23:52,2/10/19 23:55,2,no,
2/10/19 23:50,1,"1916 North Warren Avenue, Milwaukee, Wisconsin 53202, United States",Arch Court,,2/11/19 0:03,2/11/19 0:12,13,no,
2/10/19 23:50,3,Arch Court,"1912 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:51,,,,yes,I'm not ready to go
2/10/19 23:52,3,Arch Court,"1912 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:52,,,,yes,I'm not ready to go
2/10/19 23:52,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2544 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 23:53,,,,yes,I'm not ready to go
2/10/19 23:53,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2466 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:01,2/11/19 0:09,7,no,
2/10/19 23:54,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/11/19 0:01,2/11/19 0:04,6,no,
2/10/19 23:54,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2544 North Frederick Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:01,2/11/19 0:08,6,no,
2/10/19 23:54,1,"3975 North Cramer Street, Milwaukee, Wisconsin 53211, United States","2739 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:01,2/11/19 0:05,6,no,
2/10/19 23:55,2,"2301 North Lake Drive, Milwaukee, Wisconsin 53211, United States","UWM Sandburg Hall, 3400 N Maryland Ave, Milwaukee, Wisconsin, United States, 53211",,2/11/19 0:12,2/11/19 0:19,16,no,
2/10/19 23:58,1,"3575 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","UWM Sandburg Hall, 3400 N Maryland Ave, Milwaukee, Wisconsin, United States, 53211",2/10/19 23:58,,,,yes,I'm not ready to go
2/10/19 23:58,1,"2969 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3062 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",2/11/19 0:04,,,,no,No show
2/11/19 0:00,1,Lapham,"1522 East Newport Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:08,2/11/19 0:11,8,no,
2/11/19 0:01,1,"2539 North Dousman Street, Milwaukee, Wisconsin 53212, United States",Sandburg,,2/11/19 0:07,2/11/19 0:19,6,no,
2/11/19 0:01,2,Sandburg,7-Eleven - North,,2/11/19 0:20,2/11/19 0:25,18,no,
2/11/19 0:02,2,Walmart,Sandburg,,2/11/19 0:14,2/11/19 0:19,12,no,
2/11/19 0:03,2,"3208 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/11/19 0:08,2/11/19 0:10,5,no,
2/11/19 0:03,1,"3048 North Downer Avenue, Milwaukee, Wisconsin 53211, United States","UWM Golda Meir Library, 2311 E Hartford Ave, Milwaukee, Wisconsin, United States, 53211",2/11/19 0:06,,,,yes,Wait time is too long
2/11/19 0:03,3,Arch Court,"1912 East Linnwood Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:15,2/11/19 0:18,11,no,
2/11/19 0:04,1,Library,"1614 E Royall Pl, Milwaukee, WI 53202, USA",,2/11/19 0:18,2/11/19 0:29,13,no,
2/11/19 0:04,1,Von Trier,"530 East Burleigh Street, Milwaukee, Wisconsin 53212, United States",,2/11/19 0:12,2/11/19 0:19,7,no,
2/11/19 0:07,1,"1708 East Geneva Place, Milwaukee, Wisconsin 53211, United States","2508 East Belleview Place, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:15,2/11/19 0:18,8,no,
2/11/19 0:09,1,"2971 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States","3062 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States",2/11/19 0:15,,,,yes,Wait time is too long
2/11/19 0:11,1,Union South,"2020 East Park Place, Milwaukee, Wisconsin 53211, United States",2/11/19 0:12,,,,yes,I've had a change in my plans
2/11/19 0:12,1,Library,"2020 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:15,2/11/19 0:19,3,no,
2/11/19 0:19,1,"2002 East Newberry Boulevard, Milwaukee, Wisconsin 53211, United States","1709 East Park Place, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:26,2/11/19 0:29,6,no,
2/11/19 0:21,1,Sandburg,"2570 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/11/19 0:25,2/11/19 0:38,4,no,
