ID,Stop_0,Cnt_0,Stop_1,Cnt_1 
100711,Sandburg Residence Hall (Sand),33,Cambridge Commons (CC-S),42 
100710,Sandburg Residence Hall (Sand),7,Cambridge Commons (CC-S),7 
97507,Sandburg Residence Hall (Sand),4,Cambridge Commons (CC-S),5 
98104,UWM Golda Meir Library (Lib),5,Kenilworth Square Apartments (KNW),17 
104754,Sandburg Residence Hall (Sand),7,Cambridge Commons (CC-S),8 
96557,Cunningham Hall (Cunn),7,RiverView Residence Hall (RVW),4 
109721,UWM Golda Meir Library (Lib),55,Cambridge Commons (CC-S),48 
101098,Sandburg Residence Hall (Sand),5,Cambridge Commons (CC-S),5 
95039,Sandburg Residence Hall (Sand),2,Kenilworth Square Apartments (KNW),7 
109370,UWM Golda Meir Library (Lib),13,Cambridge Commons (CC-S),20 
97985,Sandburg Residence Hall (Sand),2,RiverView Residence Hall (RVW),3 
103341,UWM Golda Meir Library (Lib),3,RiverView Residence Hall (RVW),4 
103422,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),4 
98734,Sandburg Residence Hall (Sand),5,Kenilworth Square Apartments (KNW),2 
104163,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),2 
102455,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),54 
98143,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),20 
99477,Sandburg Residence Hall (Sand),8,Cambridge Commons (CC-S),6 
103462,Sandburg Residence Hall (Sand),12,Kenilworth Square Apartments (KNW),16 
85524,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),3 
87194,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),3 
107990,Sandburg Residence Hall (Sand),2,Kenilworth Square Apartments (KNW),2 
98212,Sandburg Residence Hall (Sand),5,Kenilworth Square Apartments (KNW),1 
73017,Sandburg Residence Hall (Sand),12,RiverView Residence Hall (RVW),8 
94829,Sandburg Residence Hall (Sand),2,Cambridge Commons (CC-S),2 
107927,Sandburg Residence Hall (Sand),3,RiverView Residence Hall (RVW),6 
87045,Sandburg Residence Hall (Sand),17,Cambridge Commons (CC-S),14 
109381,Sandburg Residence Hall (Sand),4,RiverView Residence Hall (RVW),9 
106516,Sandburg Residence Hall (Sand),16,Cambridge Commons (CC-S),6 
87965,Sandburg Residence Hall (Sand),2,Kenilworth Square Apartments (KNW),3 
99049,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),2 
100584,UWM Golda Meir Library (Lib),70,RiverView Residence Hall (RVW),85 
109700,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),10 
98969,Cunningham Hall (Cunn),2,Kenilworth Square Apartments (KNW),3 
102666,UWM Golda Meir Library (Lib),10,Cambridge Commons (CC-S),10 
103384,UWM Golda Meir Library (Lib),34,Cambridge Commons (CC-S),32 
101103,UWM Golda Meir Library (Lib),4,Cambridge Commons (CC-S),5 
106034,Sandburg Residence Hall (Sand),4,RiverView Residence Hall (RVW),5 
98189,Sandburg Residence Hall (Sand),13,Kenilworth Square Apartments (KNW),10 
76064,Non-Peak Hours UWM KIRC (KIRC-S),5,Kenilworth Square Apartments (KNW),2 
102489,UWM Golda Meir Library (Lib),7,Kenilworth Square Apartments (KNW),32 
103515,Sandburg Residence Hall (Sand),8,Cambridge Commons (CC-S),8 
103435,Sandburg Residence Hall (Sand),4,Cambridge Commons (CC-S),4 
87166,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),4 
98204,Sandburg Residence Hall (Sand),3,Cambridge Commons (CC-S),8 
95356,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),3 
104230,Sandburg Residence Hall (Sand),20,Cambridge Commons (CC-S),21 
109648,Sandburg Residence Hall (Sand),9,Cambridge Commons (CC-S),9 
70027,Sandburg Residence Hall (Sand),11,RiverView Residence Hall (RVW),3 
83155,Sandburg Residence Hall (Sand),1,Capitol and Humboldt Park and Ride (C/H),7 
101906,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),17 
85717,Non-Peak Hours UWM KIRC (KIRC-S),1,Capitol and Humboldt Park and Ride (C/H),10 
77041,Sandburg Residence Hall (Sand),3,Kenilworth Square Apartments (KNW),32 
99693,UWM Union (Union),9,Capitol and Humboldt Park and Ride (C/H),7 
82392,Non-Peak Hours UWM KIRC (KIRC-S),6,Kenilworth Square Apartments (KNW),24 
70747,UWM Union (Union),41,Capitol and Humboldt Park and Ride (C/H),37 
109826,UWM Golda Meir Library (Lib),14,Cambridge Commons (CC-S),13 
75616,UWM Union (Union),15,Capitol and Humboldt Park and Ride (C/H),10 
94171,UWM Golda Meir Library (Lib),42,Cambridge Commons (CC-S),18 
90234,Sandburg Residence Hall (Sand),7,Kenilworth Square Apartments (KNW),30 
105372,UWM Golda Meir Library (Lib),9,Kenilworth Square Apartments (KNW),39 
70954,UWM Golda Meir Library (Lib),2,RiverView Residence Hall (RVW),11 
98633,Sandburg Residence Hall (Sand),6,Capitol and Humboldt Park and Ride (C/H),8 
103536,UWM Union (Union),28,Capitol and Humboldt Park and Ride (C/H),23 
97453,UWM Golda Meir Library (Lib),23,RiverView Residence Hall (RVW),36 
106602,UWM Golda Meir Library (Lib),13,RiverView Residence Hall (RVW),37 
103812,UWM Union (Union),13,Capitol and Humboldt Park and Ride (C/H),14 
104425,UWM Golda Meir Library (Lib),1,Kenilworth Square Apartments (KNW),35 
105290,UWM Golda Meir Library (Lib),34,Cambridge Commons (CC-S),41 
75978,Sandburg Residence Hall (Sand),6,Capitol and Humboldt Park and Ride (C/H),5 
102540,UWM Union (Union),43,Capitol and Humboldt Park and Ride (C/H),38 
67368,UWM Union (Union),5,Capitol and Humboldt Park and Ride (C/H),3 
83857,UWM Golda Meir Library (Lib),3,Kenilworth Square Apartments (KNW),12 
94060,UWM Union (Union),15,Capitol and Humboldt Park and Ride (C/H),28 
99727,Sandburg Residence Hall (Sand),4,Kenilworth Square Apartments (KNW),8 
90371,UWM Union (Union),21,Capitol and Humboldt Park and Ride (C/H),28 
108008,UWM Union (Union),18,Capitol and Humboldt Park and Ride (C/H),30 
98623,Cunningham Hall (Cunn),6,Cambridge Commons (CC-S),9 
102526,UWM Union (Union),39,Capitol and Humboldt Park and Ride (C/H),36 
102329,UWM Union (Union),17,Capitol and Humboldt Park and Ride (C/H),13 
101554,UWM Union (Union),35,Capitol and Humboldt Park and Ride (C/H),39 
72582,UWM Union (Union),12,Capitol and Humboldt Park and Ride (C/H),22 
106524,UWM Golda Meir Library (Lib),20,Kenilworth Square Apartments (KNW),11 
105285,UWM Golda Meir Library (Lib),13,Kenilworth Square Apartments (KNW),56 
66067,UWM Union (Union),11,Capitol and Humboldt Park and Ride (C/H),7 
105294,UWM Union (Union),6,Capitol and Humboldt Park and Ride (C/H),8 
104055,UWM Union (Union),24,Capitol and Humboldt Park and Ride (C/H),18 
103970,UWM Union (Union),54,Capitol and Humboldt Park and Ride (C/H),43 
104075,UWM Golda Meir Library (Lib),20,Cambridge Commons (CC-S),38 
102491,UWM Golda Meir Library (Lib),3,RiverView Residence Hall (RVW),2 
109295,Sandburg Residence Hall (Sand),10,Capitol and Humboldt Park and Ride (C/H),14 
104059,UWM Golda Meir Library (Lib),26,Cambridge Commons (CC-S),29 
86898,Sandburg Residence Hall (Sand),14,Capitol and Humboldt Park and Ride (C/H),17 
98323,UWM Golda Meir Library (Lib),6,Cambridge Commons (CC-S),4 
103914,UWM Golda Meir Library (Lib),6,Cambridge Commons (CC-S),5 
102618,Non-Peak Hours UWM KIRC (KIRC-S),2,RiverView Residence Hall (RVW),3 
100160,Sandburg Residence Hall (Sand),3,RiverView Residence Hall (RVW),2 
98479,Sandburg Residence Hall (Sand),19,Capitol and Humboldt Park and Ride (C/H),12 
